Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Prop de Personas en NBI (%),Prop de Personas en miseria,Componente vivienda,Componente Servicios,Componente Hacinamiento,Componente Inasistencia,Componente dependencia económica
05,ANTIOQUIA,490,NECOCLÍ,57.63,28.61,47.66,22.01,10.68,4.73,11.76
05,ANTIOQUIA,495,NECHÍ,54.34,20.68,47.33,14.66,7.81,2.33,7.88
05,ANTIOQUIA,501,OLAYA,12.03,1.66,0.88,0.18,5.04,0.66,6.91
05,ANTIOQUIA,541,PEÑOL,6.86,0.64,0.12,0.11,1.53,1.03,4.77
05,ANTIOQUIA,543,PEQUE,27.36,6.68,0.81,1.25,14.07,2.45,16.17
05,ANTIOQUIA,576,PUEBLORRICO,15.86,2.21,0.94,2.92,2.11,1.56,11.48
05,ANTIOQUIA,579,PUERTO BERRÍO,13.77,2.44,4.04,0.75,4.30,2.16,5.40
05,ANTIOQUIA,585,PUERTO NARE,13.75,2.09,2.42,1.05,3.19,2.94,6.46
05,ANTIOQUIA,591,PUERTO TRIUNFO,13.15,1.83,1.61,0.19,5.26,2.36,5.93
05,ANTIOQUIA,604,REMEDIOS,22.20,5.50,10.08,2.24,4.29,2.91,10.01
05,ANTIOQUIA,607,RETIRO,4.61,0.41,0.23,0.07,1.35,1.24,2.15
05,ANTIOQUIA,615,RIONEGRO,5.20,0.31,0.14,0.04,1.35,2.10,1.90
05,ANTIOQUIA,628,SABANALARGA,27.57,6.36,0.90,3.29,12.06,3.20,15.59
05,ANTIOQUIA,631,SABANETA,1.59,0.08,0.05,0.01,0.40,0.51,0.70
05,ANTIOQUIA,642,SALGAR,16.59,2.28,0.88,0.91,4.13,2.59,10.53
05,ANTIOQUIA,647,SAN ANDRÉS DE CUERQUÍA,24.54,4.37,0.86,2.48,8.20,8.15,10.37
05,ANTIOQUIA,649,SAN CARLOS,12.07,1.71,1.69,0.43,2.64,2.48,6.80
05,ANTIOQUIA,652,SAN FRANCISCO,19.80,3.03,2.66,2.34,4.27,1.32,12.64
05,ANTIOQUIA,656,SAN JERÓNIMO,13.29,1.85,1.06,0.63,4.84,1.84,6.86
05,ANTIOQUIA,658,SAN JOSÉ DE LA MONTAÑA,10.23,1.59,0.68,0.07,3.25,0.64,7.79
05,ANTIOQUIA,659,SAN JUAN DE URABÁ,59.82,28.94,52.32,22.58,5.43,2.69,13.61
05,ANTIOQUIA,660,SAN LUIS,12.99,1.98,1.41,0.40,3.89,2.52,6.75
05,ANTIOQUIA,664,SAN PEDRO,6.67,0.32,0.14,0.13,1.50,0.62,4.63
05,ANTIOQUIA,665,SAN PEDRO DE URABA,66.14,33.77,61.38,21.71,11.26,2.90,13.45
05,ANTIOQUIA,667,SAN RAFAEL,11.12,1.04,1.28,1.27,2.88,0.80,6.00
05,ANTIOQUIA,670,SAN ROQUE,14.85,1.99,2.54,0.93,4.81,1.92,7.06
05,ANTIOQUIA,674,SAN VICENTE,10.97,1.02,0.30,0.05,2.95,1.50,7.27
05,ANTIOQUIA,679,SANTA BÁRBARA,9.81,1.12,0.34,0.22,2.62,1.09,6.70
05,ANTIOQUIA,686,SANTA ROSA DE OSOS,9.23,0.80,0.32,0.26,2.47,1.75,5.31
05,ANTIOQUIA,690,SANTO DOMINGO,11.54,1.11,0.74,0.51,3.74,0.97,6.90
05,ANTIOQUIA,697,EL SANTUARIO,6.80,0.44,0.07,0.03,1.85,2.43,2.88
05,ANTIOQUIA,736,SEGOVIA,23.15,6.42,7.81,4.54,6.12,4.52,8.42
05,ANTIOQUIA,756,SONSON,13.24,1.34,1.35,0.81,2.62,1.40,8.53
05,ANTIOQUIA,761,SOPETRÁN,11.31,1.54,1.16,0.70,5.14,1.06,5.11
05,ANTIOQUIA,789,TÁMESIS,12.41,1.44,0.33,1.09,2.15,2.09,8.44
05,ANTIOQUIA,790,TARAZÁ,32.42,10.72,15.14,6.64,8.60,4.57,11.04
05,ANTIOQUIA,792,TARSO,16.24,1.54,0.76,0.39,4.25,0.35,12.11
05,ANTIOQUIA,809,TITIRIBÍ,11.22,0.60,0.27,0.18,1.53,1.49,8.47
05,ANTIOQUIA,819,TOLEDO,23.91,5.34,1.14,1.71,12.21,0.79,14.12
05,ANTIOQUIA,837,TURBO,39.15,14.72,22.10,16.91,6.98,3.04,9.54
05,ANTIOQUIA,842,URAMITA,27.10,7.80,7.22,6.81,8.03,2.28,13.46
05,ANTIOQUIA,847,URRAO,24.45,9.25,5.95,9.73,8.96,3.48,13.60
